epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2097,1.82008,8.3688,0.00626,0.01271,0.36666,0.09574,0.0417,1.54012,4.85458,0.006,0.000407407,0.000407407,0.000407407
2,39.883,1.67232,6.29169,0.0053,0.67163,0.11753,0.3536,0.18221,1.52229,3.80843,0.00605,0.000815916,0.000815916,0.000815916
3,60.7669,1.62159,4.86332,0.00498,0.51743,0.4967,0.48458,0.27191,1.6716,2.6845,0.00731,0.00121617,0.00121617,0.00121617
4,77.3221,1.6158,4.22228,0.00508,0.53384,0.57517,0.57725,0.32524,1.60392,1.69127,0.0063,0.00121287,0.00121287,0.00121287
5,89.6257,1.58525,3.37683,0.00477,0.60743,0.59378,0.63523,0.3759,1.59148,1.41476,0.00677,0.0012005,0.0012005,0.0012005
6,101.271,1.5624,2.90892,0.00465,0.68606,0.61101,0.66331,0.39147,1.63027,1.32524,0.00686,0.00118812,0.00118812,0.00118812
7,111.176,1.51424,2.45882,0.00465,0.62627,0.65576,0.65933,0.39791,1.58639,1.24121,0.00644,0.00117575,0.00117575,0.00117575
8,121.42,1.51417,2.03217,0.00439,0.774,0.69213,0.74505,0.44687,1.53149,1.10184,0.0064,0.00116337,0.00116337,0.00116337
9,131.346,1.50684,1.82936,0.00446,0.7852,0.68971,0.74514,0.41784,1.66896,1.10249,0.00723,0.001151,0.001151,0.001151
10,141.47,1.45636,1.63789,0.00437,0.75964,0.65409,0.7573,0.4588,1.54673,1.08792,0.00652,0.00113863,0.00113863,0.00113863
11,151.498,1.47557,1.48783,0.00419,0.73824,0.74036,0.75874,0.43862,1.57875,0.99218,0.00645,0.00112625,0.00112625,0.00112625
12,161.437,1.4503,1.3486,0.0044,0.7991,0.73845,0.79394,0.46214,1.58258,1.01546,0.0066,0.00111388,0.00111388,0.00111388
13,171.336,1.42047,1.29582,0.00427,0.73332,0.73386,0.786,0.46956,1.52479,0.96688,0.0061,0.0011015,0.0011015,0.0011015
14,181.229,1.37759,1.1476,0.00402,0.80209,0.68755,0.80638,0.47867,1.48702,0.98598,0.00622,0.00108913,0.00108913,0.00108913
15,191.106,1.37082,1.05404,0.00402,0.85182,0.69817,0.82315,0.50503,1.46577,0.91578,0.00578,0.00107675,0.00107675,0.00107675
16,201.053,1.3948,1.03456,0.00405,0.83657,0.64871,0.77804,0.48037,1.47356,0.99554,0.00622,0.00106437,0.00106437,0.00106437
17,210.917,1.36225,0.99663,0.00403,0.77242,0.72407,0.80124,0.49338,1.50855,0.91187,0.00624,0.001052,0.001052,0.001052
18,220.737,1.34996,0.94755,0.00386,0.78651,0.73477,0.80607,0.47615,1.60442,0.83882,0.00702,0.00103962,0.00103962,0.00103962
19,230.627,1.34958,0.90753,0.00395,0.78865,0.77871,0.83413,0.50783,1.48634,0.87677,0.00616,0.00102725,0.00102725,0.00102725
20,240.477,1.36211,0.90283,0.00377,0.85546,0.73406,0.833,0.49359,1.53109,0.89879,0.00583,0.00101488,0.00101488,0.00101488
21,250.396,1.34363,0.85619,0.00368,0.87667,0.74964,0.83944,0.52057,1.44483,0.84733,0.0056,0.0010025,0.0010025,0.0010025
22,260.308,1.33538,0.82467,0.00367,0.83175,0.76597,0.82862,0.51146,1.51857,0.85694,0.00591,0.000990125,0.000990125,0.000990125
23,270.189,1.30586,0.80087,0.00362,0.89263,0.7334,0.83972,0.52265,1.50241,0.85576,0.00589,0.00097775,0.00097775,0.00097775
24,280.076,1.3277,0.80909,0.0038,0.81625,0.76412,0.81901,0.50474,1.49092,0.91151,0.00601,0.000965375,0.000965375,0.000965375
25,289.909,1.34422,0.78231,0.00382,0.85506,0.77071,0.83853,0.51524,1.48877,0.79886,0.00591,0.000953,0.000953,0.000953
26,299.69,1.29828,0.7343,0.00351,0.84659,0.74319,0.83836,0.51911,1.48865,0.75699,0.00549,0.000940625,0.000940625,0.000940625
27,309.841,1.28261,0.69635,0.00367,0.80971,0.77701,0.81414,0.50645,1.47972,0.84604,0.00557,0.00092825,0.00092825,0.00092825
28,320.274,1.29726,0.72752,0.00374,0.88046,0.73504,0.83431,0.52086,1.46536,0.79358,0.00579,0.000915875,0.000915875,0.000915875
29,330.736,1.30597,0.75357,0.00365,0.84224,0.78315,0.84812,0.52049,1.50033,0.77655,0.00587,0.0009035,0.0009035,0.0009035
30,340.942,1.27602,0.7138,0.00358,0.87471,0.75472,0.85399,0.52446,1.50817,0.82797,0.00596,0.000891125,0.000891125,0.000891125
31,350.944,1.29183,0.71499,0.00364,0.79058,0.73788,0.81013,0.51009,1.47836,0.84145,0.00584,0.00087875,0.00087875,0.00087875
32,360.892,1.24445,0.72102,0.00338,0.81238,0.74737,0.82544,0.5089,1.51051,0.85624,0.00557,0.000866375,0.000866375,0.000866375
33,370.858,1.26303,0.69052,0.00343,0.80647,0.80603,0.84223,0.52625,1.50977,0.77203,0.00596,0.000854,0.000854,0.000854
34,380.762,1.28842,0.68379,0.00344,0.88307,0.72634,0.86006,0.54582,1.42525,0.74571,0.00567,0.000841625,0.000841625,0.000841625
35,390.642,1.23561,0.64422,0.00348,0.82836,0.79662,0.84865,0.52085,1.51601,0.78641,0.00621,0.00082925,0.00082925,0.00082925
36,400.582,1.26694,0.66729,0.00343,0.86874,0.7896,0.851,0.5198,1.55178,0.72987,0.00637,0.000816875,0.000816875,0.000816875
37,410.476,1.21385,0.62535,0.00334,0.82268,0.77536,0.83981,0.53228,1.44816,0.81742,0.00571,0.0008045,0.0008045,0.0008045
38,420.437,1.22192,0.65298,0.00341,0.84083,0.76024,0.83731,0.5174,1.5317,0.82322,0.00573,0.000792125,0.000792125,0.000792125
39,430.424,1.2494,0.6421,0.00334,0.86874,0.74988,0.82902,0.51939,1.49983,0.88282,0.00599,0.00077975,0.00077975,0.00077975
40,440.393,1.22817,0.60995,0.00328,0.85031,0.77811,0.83744,0.51881,1.47948,0.80127,0.00563,0.000767375,0.000767375,0.000767375
41,450.335,1.22799,0.5951,0.00323,0.8465,0.81205,0.8604,0.54838,1.44377,0.73199,0.00546,0.000755,0.000755,0.000755
42,460.251,1.19247,0.6001,0.00331,0.93389,0.77312,0.86219,0.53199,1.46502,0.80623,0.0056,0.000742625,0.000742625,0.000742625
43,470.118,1.19556,0.58861,0.00308,0.90367,0.74255,0.86791,0.55424,1.39686,0.8149,0.00526,0.00073025,0.00073025,0.00073025
44,480.092,1.18637,0.5828,0.00317,0.89477,0.76714,0.86955,0.54326,1.47815,0.76465,0.00565,0.000717875,0.000717875,0.000717875
45,489.999,1.17733,0.57401,0.0032,0.85404,0.79436,0.84407,0.52065,1.4673,0.82763,0.00544,0.0007055,0.0007055,0.0007055
46,499.905,1.18104,0.59017,0.0032,0.88695,0.77921,0.85326,0.54717,1.43137,0.76576,0.00556,0.000693125,0.000693125,0.000693125
47,509.813,1.13377,0.55249,0.00287,0.8552,0.79273,0.84053,0.53472,1.45923,0.80437,0.00553,0.00068075,0.00068075,0.00068075
48,519.793,1.14777,0.5588,0.00305,0.8923,0.74793,0.84821,0.54599,1.39178,0.77104,0.00512,0.000668375,0.000668375,0.000668375
49,529.758,1.161,0.5739,0.00313,0.85631,0.78479,0.846,0.54791,1.41398,0.77291,0.00539,0.000656,0.000656,0.000656
50,539.674,1.12132,0.55079,0.0029,0.81034,0.82085,0.8528,0.55632,1.39967,0.7754,0.00522,0.000643625,0.000643625,0.000643625
51,549.602,1.14008,0.54073,0.00285,0.8269,0.79958,0.86558,0.55486,1.42455,0.76486,0.0052,0.00063125,0.00063125,0.00063125
52,559.503,1.11831,0.52586,0.0029,0.90156,0.78671,0.86289,0.55969,1.42411,0.73668,0.00548,0.000618875,0.000618875,0.000618875
53,569.371,1.10295,0.53787,0.00297,0.85051,0.80921,0.85786,0.56074,1.42586,0.7429,0.00523,0.0006065,0.0006065,0.0006065
54,579.594,1.0852,0.49883,0.00288,0.85892,0.78972,0.85527,0.55469,1.4383,0.76724,0.00544,0.000594125,0.000594125,0.000594125
55,589.798,1.13325,0.54041,0.0029,0.87882,0.77367,0.85938,0.54915,1.44055,0.74362,0.00544,0.00058175,0.00058175,0.00058175
56,599.88,1.09256,0.51265,0.00276,0.87861,0.79568,0.85424,0.54861,1.44315,0.71069,0.00533,0.000569375,0.000569375,0.000569375
57,609.938,1.10201,0.53473,0.00269,0.81885,0.81649,0.86333,0.54953,1.43627,0.73003,0.00549,0.000557,0.000557,0.000557
58,619.852,1.10876,0.51983,0.00265,0.86577,0.77797,0.86029,0.54862,1.42658,0.76964,0.00527,0.000544625,0.000544625,0.000544625
59,629.758,1.10571,0.53496,0.00283,0.89377,0.74742,0.8428,0.53301,1.46655,0.7502,0.0055,0.00053225,0.00053225,0.00053225
60,639.658,1.05617,0.48779,0.00267,0.87143,0.80836,0.88158,0.54779,1.4578,0.69255,0.00542,0.000519875,0.000519875,0.000519875
61,649.568,1.08594,0.49399,0.00263,0.8802,0.76585,0.86345,0.54477,1.40988,0.76027,0.00543,0.0005075,0.0005075,0.0005075
62,659.415,1.0861,0.50054,0.00265,0.88361,0.81922,0.87059,0.54487,1.49247,0.683,0.0058,0.000495125,0.000495125,0.000495125
63,669.241,1.07504,0.50785,0.00276,0.81145,0.80826,0.86048,0.54476,1.4581,0.75066,0.00543,0.00048275,0.00048275,0.00048275
64,679.126,1.06448,0.51325,0.0027,0.86115,0.79102,0.86185,0.55622,1.41617,0.78547,0.00509,0.000470375,0.000470375,0.000470375
65,688.938,1.06006,0.4899,0.00264,0.87325,0.78396,0.85188,0.54985,1.42949,0.76049,0.00548,0.000458,0.000458,0.000458
66,698.867,1.06116,0.51122,0.00259,0.88136,0.76517,0.85386,0.54026,1.45749,0.77055,0.00533,0.000445625,0.000445625,0.000445625
